objid,ra,dec,u,g,r,i,z,specobjid,class,redshift,color
1.23765E+18,183.5313257,0.08969303,19.47406,17.0424,15.94699,15.50342,15.22531,3.72236E+18,STAR,-8.96E-06,yellow
1.23765E+18,183.5983705,0.135285032,18.6628,17.21449,16.67637,16.48922,16.3915,3.63814E+17,STAR,-5.49E-05,yellow
1.23765E+18,183.6802074,0.126185092,19.38298,18.19169,17.47428,17.08732,16.80125,3.23274E+17,GALAXY,0.1231112,red
1.23765E+18,183.8705294,0.049910685,17.76536,16.60272,16.16116,15.98233,15.90438,3.72237E+18,STAR,-0.000110616,yellow
1.23765E+18,183.8832883,0.102556752,17.55025,16.26342,16.43869,16.55492,16.61326,3.72237E+18,STAR,0.000590357,yellow
1.23765E+18,183.8471736,0.173694164,19.43133,18.46779,18.16451,18.01475,18.04155,3.64955E+17,STAR,0.000314603,yellow
1.23765E+18,183.864379,0.019200711,19.38322,17.88995,17.10537,16.66393,16.36955,3.23287E+17,GALAXY,0.1002423,red
1.23765E+18,183.9000814,0.187473297,18.97993,17.84496,17.38022,17.20673,17.07071,3.72237E+18,STAR,0.000314848,yellow
1.23765E+18,183.9245885,0.097245782,17.90616,16.97172,16.67541,16.53776,16.47596,3.63829E+17,STAR,8.91E-05,yellow
1.23765E+18,183.9734977,0.081625582,18.67249,17.71375,17.49362,17.28284,17.22644,3.24369E+17,GALAXY,0.04050813,red
1.23765E+18,183.9791945,0.135997822,19.29772,17.80227,17.18266,16.92335,16.79928,3.72236E+18,STAR,-3.46E-05,yellow
1.23765E+18,184.0853311,0.112110022,18.83307,17.51785,16.94273,16.71418,16.60521,3.72238E+18,STAR,0.000622774,yellow
1.23765E+18,184.1020979,0.191510916,19.5625,18.19113,17.65759,17.47573,17.39203,3.72237E+18,STAR,5.47E-05,yellow
1.23765E+18,184.1605102,0.075645313,19.5799,17.72815,16.9874,16.68076,16.50426,3.72238E+18,STAR,8.3E-06,yellow
1.23765E+18,184.1895738,0.099482468,19.25667,17.54869,16.63578,16.14922,15.76639,3.24366E+17,GALAXY,0.07208736,red
1.23765E+18,184.3506466,0.207229523,18.73832,18.60962,18.39696,18.31174,17.97663,3.23295E+17,QSO,0.2719369,none
1.23765E+18,184.2217972,0.046955181,19.05958,18.09512,17.92766,17.8927,17.90772,3.64801E+17,STAR,0.000209974,yellow
1.23765E+18,184.3888696,0.068287428,19.04397,17.51106,16.87335,16.61114,16.48303,3.63838E+17,STAR,0.000240098,yellow
1.23765E+18,184.3809191,0.17432277,17.81661,16.86976,16.53884,16.19576,16.08668,3.23307E+17,GALAXY,0.07277206,red
1.23765E+18,184.5694109,0.137091485,17.51339,16.41793,16.06695,15.93751,15.89478,3.24377E+17,STAR,-3.55E-05,yellow
1.23765E+18,184.6541703,0.122673446,19.07731,18.64518,18.49678,18.52677,18.45765,3.24375E+17,QSO,0.9251733,none
1.23765E+18,184.6587955,0.159935507,18.63032,17.23437,16.72749,16.51772,16.44039,2.88015E+18,STAR,4.31E-06,yellow
1.23765E+18,184.5168342,0.145549586,19.21684,18.29956,18.19589,18.14758,18.26658,3.72239E+18,STAR,8.8E-05,yellow
1.23765E+18,184.6185631,0.080576269,19.4127,17.47109,16.4987,16.06502,15.66848,3.24379E+17,GALAXY,0.1167829,red
1.23765E+18,184.6274079,0.013234086,18.48543,17.339,16.90179,16.66712,16.48684,3.23308E+17,GALAXY,0.02129653,red
1.23765E+18,184.6767619,0.059441869,17.72835,16.19783,15.66073,15.51586,15.43615,2.88015E+18,STAR,0.000175365,yellow
1.23765E+18,184.7119696,0.066571901,17.70824,16.61069,16.19772,16.0625,16.00229,3.7224E+18,STAR,0.00017238,yellow
1.23765E+18,184.7702039,0.19801005,18.18974,17.23738,16.89113,16.75727,16.71052,2.88015E+18,STAR,0.000519808,yellow
1.23765E+18,184.7826977,0.140979369,19.0764,17.78953,16.98818,16.60519,16.27859,3.24389E+17,GALAXY,0.1169446,red
1.23765E+18,184.7651553,0.080985794,19.18013,18.07133,17.71771,17.48797,17.55667,3.24389E+17,GALAXY,0.06807999,red
1.23765E+18,184.8635981,0.143469363,18.38848,17.00188,16.37884,16.16978,16.0124,2.88015E+18,STAR,0.000135947,yellow
1.23765E+18,184.8641903,0.143441662,17.93407,16.64581,16.22206,16.07029,16.06046,2.89142E+18,STAR,0.000158087,yellow
1.23765E+18,184.8755286,0.033060812,19.03059,18.10673,17.82561,17.71227,17.6878,2.88015E+18,STAR,-0.000167378,yellow
1.23765E+18,184.8763144,0.185151372,18.12978,17.17421,16.75108,16.5884,16.48527,2.88016E+18,STAR,0.000692428,yellow
1.23765E+18,184.9569855,0.156360267,18.15079,16.77761,16.2215,16.02345,15.91957,2.88016E+18,STAR,0.000304361,yellow
1.23765E+18,184.8321997,0.044306547,19.52092,17.58562,16.4269,15.94473,15.56269,3.24391E+17,GALAXY,0.1506381,red
1.23765E+18,184.9722153,0.097754241,18.90592,17.46608,16.85369,16.58687,16.41878,2.88016E+18,STAR,0.00057828,yellow
1.23765E+18,184.9942751,0.109160933,17.7019,16.76073,16.48746,16.38173,16.33654,2.88016E+18,STAR,0.000704736,yellow
1.23765E+18,185.0859131,0.099953851,18.33616,17.30684,16.92903,16.78272,16.73807,2.88016E+18,STAR,7.61E-05,yellow
1.23765E+18,185.0273854,0.095346099,19.1713,18.01316,17.42493,17.04493,16.82237,3.24396E+17,GALAXY,0.1183854,red
1.23765E+18,185.0363883,0.17667755,19.12083,17.92189,17.18494,16.7895,16.52258,3.244E+17,GALAXY,0.1575296,red
1.23765E+18,185.2170514,0.155193816,18.89707,18.04519,17.7501,17.6378,17.6124,2.88017E+18,STAR,0.000250291,yellow
1.23765E+18,185.1367288,0.071514063,19.48347,17.51522,16.31651,15.83499,15.4368,3.24397E+17,GALAXY,0.1585163,red
1.23765E+18,185.2306077,0.010099581,19.31764,18.38629,18.12009,17.9998,17.93916,2.89139E+18,STAR,0.000576704,yellow
1.23765E+18,185.3772509,0.200803727,17.964,16.39632,15.74191,15.4828,15.32453,2.88017E+18,STAR,0.000349798,yellow
1.23765E+18,159.7978416,-0.557196466,19.19752,18.07471,17.76889,17.6148,17.49577,3.0856E+17,GALAXY,0.02335118,red
1.23765E+18,159.8033022,-0.535038616,19.26627,18.16093,17.59907,17.2172,17.06311,3.08557E+17,GALAXY,0.1236402,red
1.23765E+18,159.8475235,-0.5342664,19.38251,17.92302,17.11018,16.66492,16.34558,3.08548E+17,GALAXY,0.1141676,red
1.23765E+18,159.9393455,-0.609184323,19.48702,18.51823,18.18637,18.06704,18.05865,4.3156E+18,STAR,0.000790241,yellow
1.23765E+18,160.0342636,-0.421625751,19.2634,17.67693,16.82551,16.42307,16.13864,3.08551E+17,GALAXY,0.1330486,red
1.23765E+18,160.0351619,-0.599992669,19.31866,18.27407,17.74884,17.41618,17.24165,3.08547E+17,GALAXY,0.07470067,red
1.23765E+18,160.1442091,-0.489329778,18.73682,17.65075,17.23958,17.07875,17.03255,3.08542E+17,STAR,0.000106767,yellow
1.23765E+18,160.119405,-0.61813005,19.29416,17.97134,17.26079,16.86013,16.56031,3.08541E+17,GALAXY,0.08692535,red
1.23765E+18,160.2275468,-0.433199867,19.48611,17.93822,17.21548,16.82853,16.53911,3.09705E+17,GALAXY,0.1335348,red
1.23765E+18,160.2486687,-0.579992361,19.31804,17.30973,16.17525,15.69015,15.31261,3.09702E+17,GALAXY,0.1370104,red
1.23765E+18,160.3831151,-0.459235231,19.29157,17.3125,16.17862,15.70898,15.31378,3.09709E+17,GALAXY,0.1373722,red
1.23765E+18,160.3848058,-0.586704796,19.52565,19.29625,18.95885,18.52108,18.57694,3.097E+17,QSO,0.1346428,none
1.23765E+18,160.4339517,-0.608481498,19.38467,18.59734,18.12431,17.74761,17.63823,3.09705E+17,GALAXY,0.1321922,red
1.23765E+18,160.4436424,-0.600549712,18.27173,17.0717,16.65145,16.39055,16.27766,3.08536E+17,GALAXY,0.03641907,red
1.23765E+18,160.4534919,-0.617038417,19.10892,17.76311,16.91794,16.47233,16.19134,3.08539E+17,GALAXY,0.1383506,red
1.23765E+18,160.6582067,-0.439603952,17.78707,16.12342,15.48934,15.2674,15.14027,2.88126E+18,STAR,0.000149526,yellow
1.23765E+18,160.6754542,-0.559791088,17.54073,15.83706,15.15225,14.91498,14.82364,2.88127E+18,STAR,0.000236645,yellow
1.23765E+18,160.7170039,-0.609533502,18.44119,17.54684,17.27727,17.1878,17.20361,2.88126E+18,STAR,-0.000114203,yellow
1.23765E+18,160.7303546,-0.521740212,19.13281,17.80045,17.2643,17.07242,16.98861,2.88126E+18,STAR,0.000186468,yellow
1.23765E+18,160.8121077,-0.520466085,19.42387,18.24594,18.31933,18.40867,18.52614,2.89252E+18,STAR,0.000830783,yellow
